PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,Geometry,ObjectID,x,y,wkid
TB-0316,,"407,078","3,650,144","4,449",T-00011 POD3,345,340,,,3080,-11799258.53,3893410.649,102100
BW-0439,,"410,624","3,626,190","4,160",,,154,110ALVM,,3083,-11794776.17,3864812.705,102100
ED-0199,,"569,048","3,583,990","3,200",,,,313CLBD/312RSLR,,3086,-11606824.11,3814718.461,102100
BW-0440,,"410,624","3,626,190","4,122",,,,,,3098,-11794776.17,3864812.705,102100
BW-0168,,"397,973","3,666,420","4,285",,,350,110ALVM,,3104,-11810306.88,3912799.102,102100
ED-0106,,"568,626","3,592,120","3,150",,,64,110ALVM,,3105,-11607257.78,3824393.803,102100
BW-0224,,"401,364","3,657,670","4,375",,,,110ALVM,,3112,-11806155.53,3902355.333,102100
ED-0218,,"571,995","3,583,820","3,155",,,90,110ALVM,,3116,-11603337.82,3814491.736,102100
SM-0248,,"451,030","3,641,102","6,914",PN-01029,380,380,300YESO,,3125,-11746841.58,3882971.029,102100
SM-0045,,"443,134","3,635,074","7,160",X,170,170,300YESO,,3142,-11756199.25,3875713.102,102100
WS-019,,"377,221","3,633,606","3,926",?,6,6,,,3144,-11834579.13,3873243.111,102100
BW-0909,,"548,309","3,547,540","3,707",,,121,110AVMB,,3149,-11631574.74,3771591.783,102100
ED-0253,,"584,757","3,587,780","3,142",,,,312RSLR,,3170,-11588195.3,3819083.238,102100
BW-0295,,"408,671","3,647,480","4,500",,,350,110ALVM,,3171,-11797331.34,3890240.292,102100
TB-0083,,"404,016","3,640,399","4,212",X,300,300,112QTBF,,3175,-11802793.13,3881717.196,102100
ED-0111,,"570,766","3,590,950","3,153",,,450,313CLBD,,3177,-11604732.84,3822983.74,102100
ED-0037,,"550,418","3,622,480","3,498",,,,110ALVM,,3195,-11628642.82,3860710.984,102100
ED-0256,,"600,468","3,586,720","3,140",,,,312RSLR,,3205,-11569608.59,3817650.17,102100
SM-0007,,"445,143","3,602,882","6,090",X,500,500,260SNAN/300YESO,,3206,-11753598.25,3837310.178,102100
ED-0270,,"531,726","3,569,980","4,350",,,312,313CKBF,,3208,-11651048.58,3798290.474,102100
BW-0431,,"407,608","3,625,120","4,045",,,,110ALVM,,3214,-11798348.56,3863502.109,102100
ED-0358,,"604,637","3,557,450","3,253",,,,231DCKM,,3216,-11565032.27,3782837.688,102100
ED-0208,,"573,484","3,585,620","3,100",,,110,110ALVM,,3218,-11601560.08,3816619.578,102100
ED-0013,,"559,982","3,638,640","3,335",,,,110ALVM,,3219,-11617163.36,3879954.145,102100
BW-0325,,"410,478","3,645,810","4,525",,,295,110ALVM,,3221,-11795161.16,3888261.959,102100
SM-0021,,"430,302","3,639,561","8,791",PN-00940,180,170,300YESO,,3228,-11771501.73,3880979.069,102100
