PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,Geometry,ObjectID,x,y,wkid
TO-0419,,"407,584","3,869,490","6,173",,,72,112QTBF,,6,-11801235.81,4158955.596,102100
EB-400,,"403,504","3,928,935","6,166",RG-28307,121,121,123ESPN/112ANCH,,7,-11806986.51,4231942.145,102100
EB-055,,"418,080","3,939,640","7,258",RG-36353,320,320,400EMBD,,11,-11789218.71,4245325.917,102100
EB-370,,"401,630","3,937,747","6,151",RG-48749,90,90,112ANCHsr,,13,-11809405.41,4242784.659,102100
EB-674,,"415,491","3,938,137","6,918",RG-71979,475,475,121TSUQa/400EMBD,,36,-11792382.45,4243441.214,102100
SD-0153,,"374,600","3,883,970","6,445",X,170,170,310ABO,,40,-11841689.5,4176218.243,102100
BC-0030,,"381,074","3,889,970","6,748",S-01679,,127,,,50,-11833881.19,4183686.264,102100
PC-039,,"372,083","3,908,416","6,032",X,31,31,318ABO,,52,-11845185.12,4206195.958,102100
EB-463,,"418,467","3,960,683","7,270",RG-39113,816,816,121TSUQa,,55,-11788980.74,4271332.773,102100
AR-0077,,"238,501","4,087,240","5,740",X,,,,,60,-12015224.41,4424473.387,102100
EB-066,,"416,340","3,954,065","7,347",RG-53477,725,725,121TSUQsf,,69,-11791523.59,4263123.966,102100
AR-0216,,"232,186","4,079,990","5,629",SJ-04060,36,36,,,71,-12022819.02,4415146.287,102100
AR-0085,,"240,596","4,088,880","5,781",X,23,,,,72,-12012672.82,4426609.259,102100
SD-0227,,"395,511","3,881,430","6,451",X,148,148,050QUAL,,75,-11816121.76,4173427.756,102100
AR-0208,,"235,162","4,083,104","5,665",X,28,28,,,76,-12019229.88,4419162.305,102100
BC-0265,,"352,614","3,894,870","4,999",RG-07569,,42,,,80,-11868747.02,4189187.398,102100
AR-0097,,"237,753","4,085,610","5,735",X,,,,,83,-12016094.98,4422402.1,102100
EB-156,,"400,727","3,949,653","6,439",exempt,350,350,121TSUQs,,86,-11810677.83,4257472.592,102100
SD-0273,,"382,210","3,889,610","6,766",X,65,65,110ALVM,,89,-11832487.54,4183262.654,102100
BC-0075,,"375,096","3,888,700","6,906",S-01058 X,170,170,,,92,-11841163.42,4182029.121,102100
SD-0325,,"369,853","3,908,860","5,821",X,100,100,110ALVM,,106,-11847922.91,4206702.673,102100
EB-307,3.53E+14,"398,488","3,936,666","5,968",RG-23683,163,125,120IRSV/121TSUQe,,107,-11813249.93,4241407.503,102100
EB-078,,"413,940","3,957,720","6,935",RG-33783,378,378,121TSUQs,,110,-11794521.02,4267614.813,102100
AR-0095,,"238,427","4,086,390","5,756",X,,,,,111,-12015284.1,4423405.42,102100
AR-0082,,"237,843","4,086,310","5,737",X,,,,,113,-12016009.63,4423282.635,102100
EB-317,,"404,232","3,938,253","6,254",RG-22251 X6,200,200,121TSUQs,,116,-11806215.75,4243443.961,102100
SD-0078,,"377,832","3,875,950","7,248",X,120,120,325MDER,,117,-11837612,4166440.449,102100
SD-0247,,"376,043","3,891,060","7,028",X,105,105,231CHNL,,123,-11840046.03,4184941.316,102100
EM-0006,,"194,430","3,882,740","7,201",X,10,10,,,124,-12061431.81,4169477.272,102100
EB-134,,"401,980","3,938,280","6,189",RG-32553,137,137,112ANCHsr,,125,-11808982.66,4243447.092,102100
AR-0017,,"230,984","4,078,740","5,571",SJ-01722 POD2,17,17,,,131,-12024268.2,4413534.035,102100
EB-150,,"412,592","3,950,813","7,023",exempt,380,377,121TSUQs,,135,-11796096.98,4259059.944,102100
EB-395,,"404,140","3,929,549","6,196",X,208,208,123ESPN,,139,-11806214.08,4232707.472,102100
BC-0113,,"373,773","3,882,660","6,320",,,,,,144,-11842676.97,4174597.703,102100
BC-0100,,"373,911","3,885,290","6,726",S-00740,260,260,,,148,-11842553.08,4177825.533,102100
EB-109,,"407,319","3,948,593","6,686",RG-50036,590,590,121TSUQs,,155,-11802555.65,4256250.951,102100
WL-0180,,"434,069","3,938,579","7,331",X,,,,,156,-11769561.85,4244180.029,102100
TO-0410,,"403,564","3,870,120","6,216",,,198,112QTBF,,159,-11806145.02,4159676.238,102100
BW-0704,,"228,668","3,907,970","6,634",,,500,313SADR,,178,-12020627.77,4201744.422,102100
SD-0221,,"391,031","3,883,780","6,552",X,300,300,325MDER,,181,-11821624.91,4176245.197,102100
SD-0074,,"363,573","3,870,460","5,681",X,21,21,110ALVM,,188,-11854905.07,4159467.696,102100
BC-0130,,"384,155","3,873,160","7,263",E-08248 S5,385,385,,,190,-11829855.4,4163123.285,102100
BC-0329,,"378,704","3,885,770","6,841",,,,,,191,-11836708.16,4178494.427,102100
SV-0022,,"380,813","3,899,488","6,416",RG-71097 POD1,140,140,325MDER,,195,-11834353.29,4195369.311,102100
EB-212,3.53E+14,"405,848","3,926,044","6,223",RG-34646,525,410,123ESPN,,196,-11804072.61,4228409.753,102100
BC-0071,,"377,834","3,890,630","6,972",S-02546,,,,,200,-11837850.55,4184443.401,102100
SD-0127,,"376,320","3,887,890","7,073",X,500,500,211MVRD,,201,-11839654.74,4181055.823,102100
SD-0293,,"383,925","3,888,990","6,914",X,310,310,325MDER,,203,-11830382.57,4182528.934,102100
TO-0404,,"398,060","3,872,510","6,340",,,125,112QTBF,,204,-11812888.26,4162530.462,102100
EB-668,,"414,482","3,943,745","6,993",RG-10316 CLW,400,400,121TSUQs,,205,-11793688.17,4250351.827,102100
SD-0237,,"375,778","3,892,230","7,038",X,70,70,300YESO,,206,-11840389.43,4186372.989,102100
SD-0292,,"383,988","3,889,220","6,883",X,97,97,325MDER,,208,-11830309.2,4182812.175,102100
EB-611,,"405,227","3,949,987","6,575",RG-82308,"2,016","2,000",121TSUQsf,,210,-11805146.95,4257945.974,102100
EB-661,,"407,765","3,939,546","6,483",RG-86221,"1,800",620,121TSUQs,,211,-11801891.88,4245085.566,102100
SD-0085,,"380,290","3,872,490","7,461",X,58,58,325MDER,,212,-11834558.12,4162241.376,102100
SD-0110,,"394,621","3,872,940","6,616",X,200,200,325MDER,,215,-11817088.28,4163009.341,102100
BC-0274,,"368,413","3,880,650","5,890",,,,,,216,-11849184.47,4172040.074,102100
SD-0151,,"376,611","3,885,560","6,595",X,156,156,210MNCS,,218,-11839260.6,4178202.226,102100
BC-0153,,"378,936","3,890,940","6,738",S-02609,283,283,,,219,-11836509.15,4184842.034,102100
EB-291,,"409,347","3,956,949","6,814",RG-28064 X2,727,725,121TSUQsf,,221,-11800166.33,4266604.747,102100
EB-417,,"415,225","3,934,102","6,740",RG-48785,320,320,121TSUQa,,222,-11792662.17,4238459.972,102100
AR-0214,,"214,258","4,072,999","5,555",SJ-04019,370,370,,,226,-12044873.22,4405670.267,102100
SD-0200,,"384,994","3,883,800","6,826",X,325,325,325MDER,,229,-11828996.29,4176178.441,102100
BC-0331,,"378,041","3,893,250","6,808",S-02873,,570,,,230,-11837640.73,4187662.914,102100
PB-0017,,"378,905","3,936,877","5,241",X,,,,,237,-11837304.78,4241366.509,102100
EB-189,,"417,201","3,959,125","7,108",RG-40345,530,530,121TSUQa,,240,-11790522.1,4269390.959,102100
SV-0063,,"377,935","3,901,220","6,512",RG-71929,325,325,325MDER,,241,-11837901.83,4197450.127,102100
WL-0148,,"414,236","3,917,349","6,036",RG-81683,100,100,,,245,-11793679.84,4217803.396,102100
EB-105,,"403,911","3,950,729","6,580",RG-71748,854,854,121TSUQs/121TSUQsf,,246,-11806775.65,4258845.347,102100
AR-0209,,"233,169","4,081,107","5,642",X,19,19,110ALVM,,256,-12021637.24,4416583.478,102100
EB-602,,"409,847","3,948,341","6,823",RG-52310,395,395,121TSUQs,,258,-11799443.21,4255971.747,102100
EB-489,,"401,300","3,956,280","6,250",RG-20516 S12,"1,930","1,920",121TSUQacu/121TSUQsf,,267,-11810063.68,4265671.273,102100
TO-0478,,"406,713","3,892,370","6,308",,,440,112QTBF,,272,-11802584.3,4187000.848,102100
PC-105,,"368,824","3,908,214","5,869",RG-49957 X2,196,196,221MRSN/WWCN,,278,-11849171.13,4205889.946,102100
EB-320,,"404,048","3,938,249","6,268",RG-22251 X3,200,200,121TSUQs,,285,-11806441.73,4243436.585,102100
SD-0088,,"385,031","3,871,520","7,212",X,120,120,325MDER,,289,-11828761.86,4161127.957,102100
EB-327,,"398,568","3,942,028","6,187",RG-65489,300,300,121TSUQs,,290,-11813226.61,4248025.782,102100
SV-0098,,"380,030","3,901,606","6,355",RG-80904,340,340,325MDER,,293,-11835345.35,4197958.941,102100
SD-0301,,"390,665","3,891,830","6,779",X,160,160,050QUAL,,296,-11822190.31,4186117.551,102100
EB-282,,"413,084","3,949,010","6,890",X,296,296,121TSUQs,,305,-11795469.99,4256838.088,102100
BC-0068,,"378,720","3,892,390","6,702",S-02659 CLW,360,360,,,308,-11836796.79,4186618.341,102100
EB-402,,"403,682","3,928,549","6,165",RG-12036,123,123,112ANCH,,314,-11806762.97,4231468.701,102100
SV-0139,,"379,505","3,901,088","6,403",RG-91144,260,260,310ABO,,316,-11835979.14,4197313.837,102100
EB-151,,"411,757","3,950,685","6,953",exempt,376,363,121TSUQs,,320,-11797122.69,4258891.569,102100
BC-0221,,"377,830","3,892,050","6,799",S-02775,"1,325","1,275",,,322,-11837878.83,4186186.291,102100
TO-0402,,"403,630","3,875,570","6,222",,,320,112QTBF,,324,-11806134.82,4166354.059,102100
SV-0072,,"377,909","3,899,152","6,652",RG-77467,400,400,325MDER,,327,-11837899.45,4194908.902,102100
BC-0240,,"377,232","3,884,960","6,614",S-01407,,170,,,329,-11838492.37,4177476.584,102100
PB-0010,,"378,639","3,937,210","5,226",RG-83238,165,165,,,330,-11837637.03,4241772.851,102100
SD-0155,,"373,430","3,883,700","6,573",X,200,200,210MNCS,,332,-11843113.37,4175867.214,102100
BC-0246,,"377,221","3,892,190","6,860",S-02639,250,250,,,335,-11838625.36,4186348.038,102100
SD-0254,,"376,360","3,890,470","7,040",X,230,230,231CHNL,,338,-11839648.86,4184222.497,102100
SV-0110,,"379,957","3,898,396","6,648",RG-65094,480,480,325MDER,,340,-11835382.48,4194013.9,102100
WL-0146,,"368,090","3,911,554","5,647",RG-84117 POD1,500,500,,,341,-11850129.55,4209984.489,102100
SD-0142,,"374,997","3,885,880","6,740",X,38,38,110ALVM,,342,-11841236.9,4178567.672,102100
AR-0110,,"244,588","4,097,170","5,947",X,,,,,345,-12008002.3,4437157.272,102100
PC-015,,"368,963","3,907,874","5,859",X,100,100,231PFDFU,,346,-11848994.92,4205474.364,102100
EB-144,,"413,750","3,948,232","6,941",exempt,78,78,121TSUQs,,356,-11794641.51,4255884.927,102100
SV-0137,,"379,805","3,898,959","6,606",RG-66663,350,350,325MDER,,358,-11835577.52,4194703.027,102100
PB-0005,,"377,559","3,937,101","5,198",X,12,12,,,361,-11838961.62,4241620.184,102100
EB-584,,"407,524","3,949,892","6,734",RG-58878,760,760,121TSUQs,,362,-11802320.14,4257858.499,102100
EB-149,,"404,388","3,947,589","6,466",exempt,465,453,121TSUQs,,369,-11806147.29,4254972.341,102100
SV-0138,,"380,090","3,899,253","6,707",RG-64552,450,450,325MDER,,371,-11835233.74,4195068.855,102100
EB-662,,"407,765","3,939,546","6,483",RG-86221,"1,800","1,140",121TSUQs,,375,-11801891.88,4245085.566,102100
WL-0152,,"356,540","3,963,133","8,102",RG-30359 POD2,400,400,,,376,-11865291.33,4273389.894,102100
SD-0086,,"382,935","3,872,140","7,294",X,200,200,325MDER,,378,-11831327.25,4161854.718,102100
EB-077,,"415,810","3,955,990","7,059",RG-52237,640,640,121TSUQsf,,380,-11792198.37,4265497.722,102100
EB-193,,"416,322","3,958,235","6,919",RG-69660,340,340,121TSUQsa,,394,-11791594.19,4268279.949,102100
EB-123,3.54E+14,"414,198","3,949,035","6,964",RG-01114,"1,159",860,121TSUQs/121TSUQsa,,406,-11794100.04,4256882.348,102100
EB-290,,"409,264","3,956,135","6,853",RG-28064 X,750,750,121TSUQsf,,410,-11800258.26,4265597.175,102100
SD-0141,,"374,854","3,885,880","6,590",X,25,25,110ALVM,,411,-11841411.53,4178565.255,102100
EB-089,,"413,650","3,957,860","6,906",RG-37587,535,535,121TSUQs,,417,-11794879.76,4267784.464,102100
TC-237,,"416,015","4,096,990","7,873",CO-112858 A,337,337,,,421,-11793642.52,4441245.192,102100
TO-0472,,"407,605","3,878,310","6,240",,,63,310GLOR,,423,-11801319.28,4169762.955,102100
BC-0059,,"381,263","3,890,240","6,708",S-02066,,343,,,426,-11833654.6,4184020.674,102100
SD-0091,,"385,863","3,870,740","7,209",X,180,180,325MDER,,431,-11827735.49,4160185.418,102100
EB-128,,"414,020","3,957,360","6,973",RG-34114,400,400,121TSUQa,,432,-11794418.23,4267170.569,102100
AR-0099,,"241,689","4,091,530","5,823",SJ-02083,23,23,,,435,-12011409.37,4429973.117,102100
EB-241,3.54E+14,"408,198","3,946,616","6,595",RG-13528,50,50,121TSUQs,,436,-11801449.44,4253820.08,102100
SD-0163,,"373,801","3,882,230","6,320",X,79,79,310ABO,,437,-11842635.5,4174070.908,102100
SV-0039,,"378,306","3,901,525","6,453",RG-80954,345,340,310ABO,,440,-11837453.02,4197831.059,102100
PB-0008,,"377,541","3,936,509","5,199",X,,,,,441,-11838973.75,4240889.593,102100
EB-233,3.54E+14,"412,297","3,941,297","6,792",RG-49910,400,400,121TSUQs,,443,-11796344.57,4247303.284,102100
EB-117,,"415,550","3,943,525","7,067",RG-35297,465,465,121TSUQa,,444,-11792372.71,4250092.765,102100
WL-0004,,"393,180","4,023,664","6,911",RG-85433,32,32,,,445,-11821073.24,4349183.747,102100
BC-0016,,"366,513","3,880,580","5,818",,,,,,451,-11851502.01,4171920.311,102100
TO-0387,,"381,323","3,876,400","7,150",,,45,325MDER,,453,-11833360.57,4167048.456,102100
SV-0030,,"377,508","3,899,590","6,688",RG-68733,425,425,325MDER,,462,-11838397.13,4195440.323,102100
EB-196,,"417,593","3,961,707","7,116",RG-48994,700,700,121TSUQa,,467,-11790068.97,4272589.656,102100
EB-138,,"404,216","3,946,481","6,460",RG-77280,735,735,121TSUQs,,471,-11806344.14,4253601.482,102100
EB-118,,"416,110","3,943,840","7,153",RG-67398,600,600,123GLST,,476,-11791687.96,4250488.257,102100
EB-084,,"410,076","3,942,848","6,642",RG-63499,263,263,121TSUQs,,482,-11799093.31,4249190.707,102100
SD-0075,,"376,894","3,876,120","7,109",X,35,35,325MDER,,483,-11838759.03,4166633.286,102100
BC-0293,,"375,243","3,885,510","6,577",,,,,,491,-11840930.28,4178117.96,102100
PC-038,,"370,917","3,907,656","6,130",RG-65295,95,95,318ABO,,493,-11846599.2,4205240.99,102100
EB-143,,"413,896","3,948,821","6,941",exempt,73,73,121TSUQs,,498,-11794468.96,4256614.345,102100
BC-0235,,"374,859","3,886,090","6,606",,,,,,499,-11841408.96,4178822.946,102100
BC-0247,,"377,844","3,892,010","6,797",S-02775 POD3,450,434,,,502,-11837861.07,4186137.421,102100
EB-107,3.54E+14,"412,977","3,954,837","7,168",RG-45127,640,640,121TSUQs,,517,-11795671.87,4264038.362,102100
SD-0232,,"393,943","3,879,290","6,541",X,274,274,325MDER,,519,-11818005.37,4170781.69,102100
TO-0398,,"404,218","3,877,290","6,240",,,550,112QTBF,,524,-11805439.54,4168469.714,102100
SD-0246,,"376,029","3,891,130","7,001",X,127,127,231SNRS,,525,-11840064.31,4185026.998,102100
PC-106,,"370,120","3,910,216","5,847",RG-61624,530,530,122SNTFP,,529,-11847619.98,4208375.056,102100
AR-0058,,"235,190","4,084,200","5,678",SJ-02656,21,21,,,531,-12019237.51,4420536.2,102100
AR-0084,,"237,693","4,086,178","5,732",X,,,,,534,-12016191.69,4423111.443,102100
NM-26934,,"370,684","3,908,311","5,942",RG-63893,60,60,210MNCSL,,540,-11846895.91,4206042.284,102100
SD-0274,,"383,301","3,890,230","6,833",X,105,105,325MDER,,541,-11831164.38,4184040.885,102100
BC-0255,,"375,761","3,890,480","7,001",S-02208 POD2,450,450,,,547,-11840380.88,4184224.717,102100
BC-0022,,"366,372","3,880,590","5,789",RG-36085,185,185,,,550,-11851674.26,4171930.032,102100
EB-215,3.53E+14,"402,167","3,927,243","6,143",X,,,123ESPN,,551,-11808604.59,4229838.746,102100
AR-0005,,"233,838","4,080,950","5,642",SJ-03939,,62,,,555,-12020797.03,4416413.11,102100
EB-235,3.54E+14,"418,894","3,941,672","7,487",X,,,400EMBD,,559,-11788241.22,4247843.356,102100
PC-123,,"360,931","3,909,330","5,188",X,,,112SNTFOB,,560,-11858854.12,4207116.687,102100
WL-0156,,"363,386","3,908,867","5,423",,,,,,562,-11855840.02,4206593.532,102100
AR-0038,,"221,948","4,074,690","5,443",X,,35,,,563,-12035365.3,4408103.123,102100
EB-439,,"420,929","3,929,690","6,859",RG-34171,462,462,221MRSN,,564,-11785609.76,4233083.678,102100
AR-0071,,"234,364","4,082,272","5,657",X,,,,,568,-12020192.67,4418089.149,102100
BC-0267,,"375,281","3,888,230","6,871",S-02729,,,,,573,-11840929.54,4181455.541,102100
BC-0078,,"375,168","3,889,960","7,026",S-01674,205,205,,,574,-11841096.66,4183576.54,102100
AR-0016,,"230,933","4,078,710","5,573",SJ-01722,20,20,,,579,-12024330.59,4413494.466,102100
SD-0100,,"377,413","3,871,030","7,481",X,,,325MDER,,583,-11838042.43,4160406.32,102100
BC-0271,,"374,882","3,888,570","7,031",S-02402,,320,,,584,-11841422.64,4181865.984,102100
PC-089,,"369,974","3,909,011","5,810",X,115,115,210MNCSU,,585,-11847777.44,4206890.513,102100
EB-061,,"420,208","3,936,150","7,226",RG-55927,340,340,400EMBD,,590,-11786565.55,4241043.058,102100
EB-585,,"403,853","3,955,866","6,468",X,,,121TSUQs,,592,-11806915.48,4265194.079,102100
SV-0002,,"378,735","3,900,491","6,481",RG-66894,225,225,325MDER,,594,-11836911.24,4196567.633,102100
TO-0471,,"406,325","3,879,480","6,237",,,232,310GLOR,,597,-11802896.05,4171181.278,102100
PC-009,,"367,974","3,907,951","5,868",RG-25304,190,190,211MENFL,,599,-11850206.93,4205551.292,102100
SV-0006,,"377,472","3,900,270","6,601",RG-67952,200,200,325MDER,,603,-11838452.44,4196275.162,102100
EB-518,,"414,156","3,934,932","6,676",RG-18529,350,350,121TSUQa,,611,-11793984.68,4239471.193,102100
PC-095,,"368,055","3,906,585","6,171",?,225,225,231PFDFU,,612,-11850083.3,4203873.25,102100
BC-0146,,"357,899","3,895,990","5,359",RG-60927,760,758,,,613,-11862309.06,4190666.331,102100
BC-0001,,"380,426","3,869,770","7,438",E-06373,364,364,,,616,-11834348.81,4158912.23,102100
AR-0048,,"222,819","4,074,140","5,578",SJ-03143 POD2,40,40,,,618,-12034258.09,4407450.526,102100
PP-018,,"434,756","4,003,955","7,445",X,180,180,,,623,-11769313.99,4325166.793,102100
SD-0263,,"377,203","3,891,730","6,867",X,136,136,110ALVM/231CHNL,,624,-11838639.74,4185783.083,102100
NM-26926,,"369,463","3,910,581","5,702",RG-49263,295,295,112SNTFP,,634,-11848430.9,4208812.297,102100
BC-0176,,"378,818","3,885,670","6,878",S-01779,400,400,,,635,-11836567.32,4178373.626,102100
BC-0250,,"373,605","3,885,570","6,820",S-01037,160,160,,,641,-11842931.5,4178163.766,102100
EB-051,,"418,290","3,941,600","7,349",RG-52333,400,400,400EMBD,,643,-11788982.75,4247747.659,102100
TO-0395,,"393,202","3,870,000","6,573",,,88,325MDER,,652,-11818776.87,4159387.948,102100
BC-0252,,"374,184","3,886,850","6,871",,,165,,,665,-11842246.13,4179743.832,102100
BC-0320,,"380,220","3,892,160","6,697",S-00383,,300,,,671,-11834959.95,4186360.502,102100
AR-0083,,"237,541","4,086,200","5,727",X,,,,,684,-12016382.17,4423133.129,102100
SD-0321,,"366,085","3,908,410","5,624",X,102,102,110ALVM,,686,-11852527.59,4206081.408,102100
SV-0068,,"378,118","3,899,459","6,572",RG-73945,370,370,325MDER,,687,-11837648.91,4195289.519,102100
BC-0082,,"375,467","3,892,640","7,101",RG-84584,,40,,,699,-11840776.37,4186871.048,102100
BC-0105,,"374,805","3,882,770","6,443",,,,,,702,-11841419.02,4174750.098,102100
AR-0116,,"243,507","4,095,780","5,953",X,69,69,,,708,-12009300.23,4435372.432,102100
EB-035,,"419,851","3,936,346","7,205",RG-44717,380,380,400EMBD,,711,-11787006.21,4241280.933,102100
BC-0065,,"379,478","3,888,010","6,820",S-02153,400,400,,,716,-11835799.3,4181255.217,102100
EB-022,,"414,889","3,943,164","7,060",RG-71060,350,287,121TSUQa,,726,-11793181.02,4249639.258,102100
EB-053,,"415,877","3,939,624","7,021",RG-59821,340,340,400EMBD,,732,-11791925.46,4245280.85,102100
TO-0460,,"402,988","3,878,690","6,253",,,,112QTBF,,733,-11806958.61,4170169.887,102100
AR-0012,,"228,771","4,078,750","5,577",X,,18,,,735,-12027026.81,4413458.735,102100
EB-224,3.54E+14,"415,467","3,945,318","7,051",X,300,300,121TSUQsa,,738,-11792495.67,4252305.927,102100
EB-004,,"411,065","3,936,094","6,598",RG-38073 X2,560,560,121TSUQa,,750,-11797794.89,4240867.358,102100
LC-028,,"399,769","3,936,918","6,082",RG-34497,,,112ANCH/120IRSV,,752,-11811680.02,4241736.268,102100
WL-0151,,"341,692","3,950,613","5,723",RG-46073 POD2,70,28,,,753,-11883301.77,4257601.465,102100
BC-0295,,"380,029","3,890,360","6,891",,,427,,,757,-11835164.24,4184148.008,102100
BC-0123,,"366,940","3,881,580","5,991",,,,,,758,-11850998.76,4173153.961,102100
BC-0055,,"376,424","3,885,340","6,558",S-01173,160,160,,,761,-11839485.3,4177929.246,102100
SD-0249,,"376,016","3,890,740","6,958",X,159,159,231CHNL,,764,-11840073.67,4184548.106,102100
EB-418,,"412,901","3,933,908","6,623",RG-42864,,,112ANCH/121TSUQa,,765,-11795513.66,4238193.106,102100
AR-0109,,"243,778","4,092,150","5,848",SJ-03067,20,20,,,767,-12008824.72,4430829.951,102100
PC-044,,"371,827","3,905,475","6,348",X,300,300,325MDER,,771,-11845447.32,4202575.558,102100
EB-012,3.54E+14,"412,377","3,949,416","6,831",RG-01113,616,616,121TSUQs,,776,-11796344.54,4257331.132,102100
SD-0115,,"396,934","3,875,690","6,365",X,100,100,325MDER,,777,-11814305.33,4166411.278,102100
SD-0138,,"374,261","3,886,080","6,727",X,65,65,110ALVM/231CHNL,,794,-11842139.07,4178800.541,102100
AR-0010,,"225,194","4,076,660","5,517",X,,38,,,799,-12031400.93,4410699.601,102100
AR-0069,,"234,659","4,082,709","5,655",SJ-03497,30,30,,,808,-12019841.8,4418647.963,102100
BC-0070,,"378,476","3,890,570","6,802",S-01197,240,240,,,810,-11837065.15,4184380.354,102100
SV-0023,,"381,056","3,899,797","6,371",RG-83111,245,245,325MDER,,814,-11834061.07,4195752.874,102100
SD-0184,,"377,783","3,886,940","6,674",X,175,175,210MNCS,,816,-11837852.11,4179914.59,102100
EB-374,,"403,628","3,929,182","6,180",RG-74896,200,200,112ANCH/123ESPN,,818,-11806837.6,4232248.271,102100
BC-0106,,"380,464","3,872,370","7,466",,,,,,819,-11834344.02,4162097.181,102100
AR-0007,,"226,463","4,076,570","5,505",SJ-03663,32,32,,,823,-12029816.17,4410638.038,102100
EB-086,,"408,125","3,958,220","6,691",RG-29546,770,770,121TSUQsf,,828,-11801686.96,4268160.974,102100
BC-0244,,"378,908","3,885,170","6,774",S-01782,,375,,,833,-11836449.27,4177761.775,102100
TO-0465,,"406,034","3,883,910","6,257",,,192,112QTBF,,834,-11803307.13,4176610.22,102100
BC-0253,,"373,975","3,886,830","6,998",,,310,,,835,-11842501.05,4179715.738,102100
BC-0009,,"374,717","3,888,080","6,893",S-01524 POD2,,540,,,846,-11841615.93,4181261.956,102100
BC-0034,3.51E+14,"374,292","3,884,100","6,478",S-00624,160,160,211MVRD,,848,-11842067.74,4176372.458,102100
TC-209,,"434,090","4,075,717","7,672",RG-38563,400,400,,,852,-11770820,4414746.456,102100
BC-0222,,"374,838","3,887,560","6,794",,,,,,857,-11841459.37,4180625.997,102100
EB-270,3.55E+14,"395,376","3,966,092","5,527",Exempt,380,346,121CHMTv,,859,-11817498.64,4277725.443,102100
SV-0081,,"377,522","3,898,349","6,969",RG-81065,785,785,325MDER,,867,-11838359.44,4193916.042,102100
EB-304,,"400,149","3,937,292","6,100",RG-21300,60,60,112ANCH,,871,-11811218.42,4242202.96,102100
EB-608,3.54E+14,"402,225","3,952,079","6,373",Exempt,"2,004","1,990",121TSUQs,,875,-11808868.07,4260490.894,102100
SV-0099,,"380,114","3,900,205","6,417",RG-66741,200,200,325MDER,,877,-11835219.84,4196238.852,102100
TO-0454,,"399,423","3,881,480","6,325",,,200,112QTBF,,878,-11811346.94,4173543.175,102100
WL-0157,,"368,338","3,907,364","5,985",RG-28291-S2,,,,,880,-11849750.86,4204836.09,102100
TO-0470,,"406,769","3,880,470","6,292",,,125,310GLOR,,885,-11802366.53,4172400.709,102100
EB-036,,"417,680","3,943,130","7,300",RG-53836,227,227,400EMBD,,887,-11789749.84,4249629.673,102100
BC-0156,3.51E+14,"380,492","3,891,850","6,704",,,260,313SADG,,898,-11834622.55,4185984.374,102100
EB-316,,"399,790","3,937,163","6,084",X,8,8,112ANCH/121TSUQ,,900,-11811657.61,4242038.834,102100
EB-243,3.54E+14,"408,912","3,946,594","6,638",RG-07738,112,112,121TSUQs,,903,-11800571.17,4253801.973,102100
EB-172,3.54E+14,"405,330","3,943,594","6,459",RG-24042,493,493,121TSUQs,,904,-11804936.58,4250051.038,102100
EB-025,,"420,106","3,934,109","7,085",RG-39231,200,200,400EMBD,,910,-11786668.41,4238524.103,102100
SD-0122,,"367,123","3,881,600","6,192",X,110,110,110ALVM/400PREC,,912,-11850775.76,4173181.764,102100
TO-0463,,"404,415","3,879,530","6,224",,,309,310GLOR,,918,-11805227.88,4171218.218,102100
EB-454,,"419,857","3,927,425","6,652",RG-60202,250,250,221MRSN/BBSN,,934,-11786900.64,4230279.791,102100
BC-0114,,"377,303","3,871,320","7,498",RG-54674,260,260,,,935,-11838181.29,4160759.683,102100
BC-0132,,"378,421","3,892,260","6,740",,,,,,937,-11837160.06,4186453.836,102100
BC-0046,,"378,221","3,886,440","6,812",,,,,,938,-11837308.97,4179308.408,102100
EB-101,,"416,630","3,958,000","6,950",RG-53785,500,500,121TSUQsf,,943,-11791212.22,4267992.899,102100
PC-127,,"368,663","3,911,311","5,670",RG-65081,610,610,112SNTFP,,947,-11849423.52,4209695.89,102100
PC-057,,"372,188","3,908,820","5,972",X,210,210,230TRSC,,951,-11845063.59,4206694.597,102100
EB-329,,"399,211","3,940,177","6,217",RG-29536,132,132,121TSUQs,,952,-11812410.65,4245750.049,102100
AR-0060,,"233,423","4,082,020","5,664",SJ-04129,60,60,,,953,-12021356.21,4417736.721,102100
SD-0132,,"374,896","3,886,910","6,706",X,180,180,231CHNL/231SNRS,,955,-11841377.58,4179829.518,102100
SD-0186,,"378,226","3,886,920","6,720",X,300,300,300YESO,,958,-11837310.73,4179897.36,102100
EB-267,3.55E+14,"395,127","3,966,201","5,480",Exempt,60,60,110ALVM/121CHMTv,,959,-11817807.07,4277856.706,102100
EB-257,3.55E+14,"418,507","3,963,217","7,023",RG-17341,130,130,121TSUQa,,967,-11788960.22,4274468.573,102100
TO-0473,,"410,874","3,878,560","6,201",,,,112QTBF,,969,-11797332.86,4170109.404,102100
EB-349,,"414,128","3,935,252","6,672",X,,,112ANCH,,972,-11794022.84,4239865.61,102100
BC-0332,,"377,682","3,891,460","6,846",,,340,,,978,-11838049.96,4185459.621,102100
BC-0054,,"381,156","3,888,180","6,876",S-01439,460,460,,,981,-11833752.34,4181490.977,102100
